caption,art_style,painting,emotion,language
تناسق ألوان لوحة الطبيعة يبعث في النفس الراحة والهدوء.,Post_Impressionism,vincent-van-gogh_still-life-with-a-basket-of-crocuses-1887,contentment,Thai
"the picture show apple in the top, there are other trees like plum and cherry on the right hand side.",Naive_Art_Primitivism,kateryna-bilokur_apples-of-bogdanivka-1959,something else,Thai
هناك شخص تم صلبه على صليب وهناك شخصين يبكيان عليه,Baroque,hendrick-terbrugghen_the-crucifixion-with-the-virgin-and-st-john,sadness,Thai
"A bowl full of fruits is on a table, and a green tapestry is behind the bowl.",Post_Impressionism,ilya-mashkov_still-life-1908,amusement,Thai
الأزهار رائعة اللون ،والورود تبدو جميلة ومشرقة.,Impressionism,paul-gauguin_dahlias-in-a-copper-vase-1885,contentment,Thai
Man: $$Woman: $$Child:,Symbolism,william-blake_the-good-and-evil-angels,fear,Thai
They look like they just got shot by a gun,Symbolism,william-blake_the-good-and-evil-angels,sadness,Thai
A woman with wings and an angel and two musicians are playing together,Mannerism_Late_Renaissance,el-greco_the-virgin-of-the-immaculate-conception-1,excitement,Thai
The big squash with a white scarred spot makes me think of a baby that was eaten,Impressionism,egon-schiele_melon-1905,something else,Thai
أغصان نخيل ضخمه وخضار صحيه على طاولة بيضاء جميلة,Impressionism,egon-schiele_melon-1905,contentment,Thai
As men sit around a table with a bunch of papers I feel sad as I think of their hard work,Northern_Renaissance,hugo-van-der-goes_portinari-triptych-detail-1478-3,contentment,Thai
Beautiful and mysterious work of art and a powerful message.,Realism,nicholas-roerich_herodotus-1893,contentment,Thai
"The painting shows 2 men with very good poses. The older man has a very small and long sword in his hand. The younger man looks upset and angry, as",Northern_Renaissance,albrecht-durer_the-four-apostles-right-part-st-mark-s-and-st-paul-1526,something else,Thai
الفراشات تدفئ الارض,Post_Impressionism,vincent-van-gogh_still-life-with-two-sunflowers-1887-1,sadness,Thai
هذه الشمس المشرقة تعطي شعوراً رائعاً,Post_Impressionism,vincent-van-gogh_still-life-with-two-sunflowers-1887-1,something else,Thai
The woman has an angelic look with long wings on her hands and feet.,Romanticism,jan-matejko_angel-ii,contentment,Thai
This person appears to have wings and she appears to be praying or in a state of meditation. She looks beautiful and I am very happy to see this image,Romanticism,jan-matejko_angel-ii,contentment,Thai
يبدو كأن هنالك شيئ من الزجاج مكسور وهناك شخص ينظر إليه على بعد,Cubism,amedee-ozenfant_still-life-1921,something else,Thai
تشوه الرسم بحيث يبدو أنه يحتوي على كثير من الألوان على كل ورقة مما يشعث الفهم,Cubism,amedee-ozenfant_still-life-1921,something else,Thai
السلال مع الجاكيت والدمية تعطي صورة حزينة,Cubism,amedee-ozenfant_still-life-1921,something else,Thai
The mother with a large and full mouth is in fact feeding her child a bowl of food and this is a representation of a scene where the mother feeds her children while,Northern_Renaissance,jan-van-hemessen_virgin-and-child-1,contentment,Thai
تعتبر هذه اللوحة واحدة من أهم الأعمال الفنية من العصور الوسطى التي تعكس الجو الروحاني لحياة الأمهات اللاتي كن يستضيفن أطفالهن في منازلهم.,Northern_Renaissance,hans-memling_madonna-and-child-with-angels,something else,Thai
أصل من مصدر غير معروف  وأحد هذه الصور اللطيفة المرسومة لشخصيات صغيرة وحيوانية على جدران كنيسة صغيرة ذات ممرين مع,Northern_Renaissance,hans-memling_madonna-and-child-with-angels,contentment,Thai
This woman looks like a woman that has lost her children and they look hungry and tired and sad.,Early_Renaissance,sandro-botticelli_madonna-with-two-angels(1),fear,Thai
A mom is holding her babies as she holds a book or a prayer. It is an image of pure happiness and happiness,Early_Renaissance,sandro-botticelli_madonna-with-two-angels(1),contentment,Thai
The various scenes make up a room and these people seem to be having a party.,Northern_Renaissance,dirk-bouts_winged-altar-in-st-peter-in-leuven,contentment,Thai
يظهر على هيئة ملاك يرتدي ملابس بيضاء ورجل يرتدي ثوب ابيض يبدو وجهه حزين و هناك شخص يبدو انه مريض قد اجبر على الخروج من البيت,Romanticism,gustave-dore_the-resurrection,something else,Thai
An old man is very careful with his papers and seems to be very busy.,Early_Renaissance,domenico-ghirlandaio_st-jerome-1480,contentment,Thai
رجل كبير يجلس علي مقعده منتبه الي كتاباته,Early_Renaissance,domenico-ghirlandaio_st-jerome-1480,something else,Thai
The old man is looking down at his crucifix and the tree is the cross,Northern_Renaissance,jan-van-hemessen_san-girolamo-in-preghiera,sadness,Thai
يبدو ان هناك من ضربه بجهاز كهربائي قوي,Expressionism,salvador-dali_untitled-apocalyptic-christ-christ-with-flames,sadness,Thai
This man looks very sad and lonely.,Early_Renaissance,andrea-del-verrocchio_the-baptism-of-christ,contentment,Thai
Jolie woman with long hair and a long robe and a sword on her shoulder,Northern_Renaissance,konrad-witz_st-catherine-of-alexandria,amusement,Thai
The woman in the painting is carrying a handfull of small fruits while she wears a long cloak. There are some stars in the sky and she is in,Baroque,agostino-carracci_st-agatha-from-the-episode-holy-women-1578,something else,Thai
A very beautiful figure with a strange face and hands holding a bowl of fruit in her hand,Baroque,agostino-carracci_st-agatha-from-the-episode-holy-women-1578,something else,Thai
Ouch! it hurts to look at that one.,Northern_Renaissance,pieter-bruegel-the-elder_christ-carrying-the-cross-1564,contentment,Thai
Jazz meets the young ladies and baby on her lap,Early_Renaissance,pietro-perugino_birth-of-the-virgin-1473,contentment,Thai
These people appear content and happy.,Early_Renaissance,pietro-perugino_birth-of-the-virgin-1473,contentment,Thai
المرأة تمسك بالطفل الصغير في حضنها وتظهر حزنها الشديد بسبب فقدان ابنها,Early_Renaissance,sandro-botticelli_the-madonna-of-the-roses(1),sadness,Thai
تبدو الصور كأنها من التاريخ القديم وقد تبدو كأنها حقيقية.,Northern_Renaissance,albrecht-durer_the-coronation-of-the-virgin-1510,contentment,Thai
يعرض المجلد الطبيه للفتاه المسكينه مع رجال يرفعونها لتدخل المستشفي,Northern_Renaissance,albrecht-durer_the-coronation-of-the-virgin-1510,contentment,Thai
"People are seated in a garden, a man is leaning over a baby, looking at it.",Early_Renaissance,andrea-mantegna_adoration-of-the-shepherds-1456,sadness,Thai
#Image contains a number of people dressed in dark clothes all standing around a large group of people wearing gold,Early_Renaissance,andrea-mantegna_the-martyrdom-of-saint-christopher-1506,fear,Thai
People in this painting are terrifying.,Northern_Renaissance,albrecht-altdorfer_beheading-of-john-the-baptist-1508,fear,Thai
"Person 1: The woman's death, her son's pain, and her child's death",Northern_Renaissance,albrecht-altdorfer_beheading-of-john-the-baptist-1508,fear,Thai
الاشخاص الموجودين فى الصورة ينظرون الى الطفل باهتمام شديد,Early_Renaissance,sandro-botticelli_madonna-and-child-with-six-saints(1),something else,Thai
These people are very concerned with one another.,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,something else,Thai
"The subjects seem to be about to kiss, which suggests passion",Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,contentment,Thai
The people in this photo seem so content and excited to see someone,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,sadness,Thai
People and animals are at rest.,Baroque,peter-paul-rubens_the-meeting-of-david-and-abigail,contentment,Thai
aMorphic image of three men in chains who are n,Early_Renaissance,pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,fear,Thai
"The image looks good, it has a good amount of detail",Early_Renaissance,sandro-botticelli_the-annunciation-1500(1),contentment,Thai
,Baroque,peter-paul-rubens_the-last-supper-1632,fear,Thai
this appears to be a group of old men sitting around some type,Baroque,peter-paul-rubens_the-last-supper-1632,contentment,Thai
the two men  are fighting and both are armed,Romanticism,gustave-dore_the-death-of-abimelech,fear,Thai
The lady with the baby in her arms is so beautiful and her,Early_Renaissance,giovanni-bellini_madonna-with-child-1455,contentment,Thai
"This painting is sad, but I am really noticing a pattern",Early_Renaissance,giovanni-bellini_madonna-with-child-1455,sadness,Thai
"People seem to be busy, but it's unclear what.",Mannerism_Late_Renaissance,tintoretto_the-adoration-of-the-shepherds-1581,something else,Thai
I love the light in the image. The colours are perfect,Mannerism_Late_Renaissance,maerten-van-heemskerck_st-luke-painting-the-virgin,contentment,Thai
The subject has a very sad expression on her face and her eyes,Symbolism,kuzma-petrov-vodkin_virgin-of-tenderness-evil-hearts-1915,sadness,Thai
Jessee's mom looks very peaceful and serene and feels,Symbolism,kuzma-petrov-vodkin_virgin-of-tenderness-evil-hearts-1915,contentment,Thai
The painting makes me think of a holy place in a spiritual sense,Mannerism_Late_Renaissance,paolo-veronese_annunciation-1558,contentment,Thai
The man carrying the baby is a perfect reflection of peace and comfort,Baroque,guido-reni_st-joseph,contentment,Thai
"A man is a naked, with children holding him, a female",Mannerism_Late_Renaissance,rosso-fiorentino_dead-christ-with-angels-1526,sadness,Thai
Human: ,Northern_Renaissance,dirk-bouts_the-annunciation-the-wing-of-polyptych,fear,Thai
Both women seem to be listening intently.,Northern_Renaissance,dirk-bouts_the-annunciation-the-wing-of-polyptych,contentment,Thai
#The first figure seems to be crucified on a cross in,Northern_Renaissance,jan-van-eyck_the-last-judgment-detail-1426,fear,Thai
The panels show different scenes and are very scary.,Northern_Renaissance,jan-van-eyck_the-last-judgment-detail-1426,sadness,Thai
One man is being killed in front of people.,Early_Renaissance,andrea-mantegna_the-descent-from-the-cross-1475,fear,Thai
One of the men wearing a white shirt holding an item on,Northern_Renaissance,petrus-christus_nativity,fear,Thai
A pregnant woman has given birth to a baby girl. She is,Rococo,giovanni-domenico-tiepolo_virgin-and-child-with-saints,contentment,Thai
A priest in a long black robe kneels on a stone with,Mannerism_Late_Renaissance,el-greco_st-dominic-praying,contentment,Thai
The man stands with a book and is crying in the sea,Romanticism,gustave-dore_jacob-prays-for-protection,fear,Thai
The image in black and white looks like a lot of people being,Symbolism,salvador-dali_apparuerunt-illis-dispertitae-linguae-acts-1-14-1967,sadness,Thai
The young girl looks sad while holding up a cup.,Early_Renaissance,andrea-del-castagno_david-with-the-head-of-goliath,sadness,Thai
The girl is in danger when she is with a man.,Early_Renaissance,andrea-del-castagno_david-with-the-head-of-goliath,something else,Thai
"People in a room that are in the dark, and someone who",Realism,james-tissot_sarah-hears-and-laughs,something else,Thai
the flowers are in a very nice arrangement with the baby and the,Baroque,peter-paul-rubens_the-virgin-and-child-in-a-garland-of-flower,contentment,Thai
The woman in the center of the image looks like she is med,Baroque,peter-paul-rubens_the-virgin-and-child-in-a-garland-of-flower,contentment,Thai
the landscape looks serene and there are lots of strawberries,Romanticism,william-holman-hunt_cornfield-at-ewell,sadness,Thai
A man standing in the middle of a yard with a gun on,Art_Nouveau_Modern,carl-larsson_the-manure-pile-1906(1),something else,Thai
The woman is sitting on the couch and is picking her nose.,Impressionism,pierre-auguste-renoir_the-agreement-1919,amusement,Thai
There are a lot of flaws here. It is all too,Impressionism,berthe-morisot_little-dancer,amusement,Thai
a beautiful little girl in her little dance class. She looks excited,Impressionism,berthe-morisot_little-dancer,contentment,Thai
People in a big family playing games and eating a cake.,Baroque,jan-steen_dissolute-household-1664,contentment,Thai
People and cats. This is very nice and makes me happy and,Baroque,jan-steen_dissolute-household-1664,contentment,Thai
